1--CompilationUnit,11--Import
11--Import,1116285--java.io
11--Import,1139694--bool
1--CompilationUnit,12--Import
12--Import,1225017--java.lang
12--Import,1251698--bool
1--CompilationUnit,13--Import
13--Import,1399620--java.util
13--Import,1316200--bool
1--CompilationUnit,14--ClassDeclaration
14--ClassDeclaration,1415745--log7
14--ClassDeclaration,147570--MethodDeclaration
147570--MethodDeclaration,14757087847--set
14757087847--set,1475708784760422--static
147570--MethodDeclaration,14757053392--BasicType
14757053392--BasicType,1475705339274930--int
147570--MethodDeclaration,14757043498--findMin
147570--MethodDeclaration,14757057021--FormalParameter
14757057021--FormalParameter,1475705702193358--BasicType
1475705702193358--BasicType,147570570219335836722--int
14757057021--FormalParameter,1475705702111265--arr
147570--MethodDeclaration,14757059446--FormalParameter
14757059446--FormalParameter,147570594461964--BasicType
147570594461964--BasicType,14757059446196487905--int
14757059446--FormalParameter,1475705944643173--low
147570--MethodDeclaration,14757064083--FormalParameter
14757064083--FormalParameter,1475706408381518--BasicType
1475706408381518--BasicType,147570640838151859236--int
14757064083--FormalParameter,1475706408399656--high
147570--MethodDeclaration,14757069908--IfStatement
14757069908--IfStatement,1475706990865611--BinaryOperation
1475706990865611--BinaryOperation,147570699086561139347--<
1475706990865611--BinaryOperation,147570699086561134282--MemberReference
147570699086561134282--MemberReference,14757069908656113428249840--high
1475706990865611--BinaryOperation,147570699086561165374--MemberReference
147570699086561165374--MemberReference,14757069908656116537457074--low
14757069908--IfStatement,1475706990813236--ReturnStatement
1475706990813236--ReturnStatement,147570699081323657652--MemberReference
147570699081323657652--MemberReference,14757069908132365765246322--ArraySelector
14757069908132365765246322--ArraySelector,1475706990813236576524632259294--Literal
1475706990813236576524632259294--Literal,147570699081323657652463225929440226--0
147570699081323657652--MemberReference,14757069908132365765276521--arr
147570--MethodDeclaration,14757045696--IfStatement
14757045696--IfStatement,1475704569694362--BinaryOperation
1475704569694362--BinaryOperation,147570456969436211331--==
1475704569694362--BinaryOperation,147570456969436218127--MemberReference
147570456969436218127--MemberReference,14757045696943621812784714--high
1475704569694362--BinaryOperation,147570456969436287894--MemberReference
147570456969436287894--MemberReference,14757045696943628789483252--low
14757045696--IfStatement,1475704569621107--ReturnStatement
1475704569621107--ReturnStatement,147570456962110767583--MemberReference
147570456962110767583--MemberReference,14757045696211076758326189--ArraySelector
14757045696211076758326189--ArraySelector,1475704569621107675832618912997--MemberReference
1475704569621107675832618912997--MemberReference,147570456962110767583261891299750305--low
147570456962110767583--MemberReference,14757045696211076758382821--arr
147570--MethodDeclaration,14757020512--LocalVariableDeclaration
14757020512--LocalVariableDeclaration,1475702051238456--BasicType
1475702051238456--BasicType,147570205123845625243--int
14757020512--LocalVariableDeclaration,1475702051278115--VariableDeclarator
1475702051278115--VariableDeclarator,147570205127811585792--mid
