1--CompilationUnit,11--ClassDeclaration
11--ClassDeclaration,1131803--log4
11--ClassDeclaration,1181253--MethodDeclaration
1181253--MethodDeclaration,118125328151--set
118125328151--set,1181253281518819--static
1181253--MethodDeclaration,118125336932--BasicType
118125336932--BasicType,118125336932583--int
1181253--MethodDeclaration,118125354079--search
1181253--MethodDeclaration,118125340228--FormalParameter
118125340228--FormalParameter,11812534022899232--BasicType
11812534022899232--BasicType,1181253402289923250051--int
118125340228--FormalParameter,11812534022898693--arr
1181253--MethodDeclaration,118125341007--FormalParameter
118125341007--FormalParameter,11812534100738813--BasicType
11812534100738813--BasicType,1181253410073881397971--int
118125341007--FormalParameter,11812534100727438--l
1181253--MethodDeclaration,118125369532--FormalParameter
118125369532--FormalParameter,11812536953218083--BasicType
11812536953218083--BasicType,1181253695321808362864--int
118125369532--FormalParameter,11812536953290768--h
1181253--MethodDeclaration,118125343884--FormalParameter
118125343884--FormalParameter,1181253438844389--BasicType
1181253438844389--BasicType,11812534388443893860--int
118125343884--FormalParameter,11812534388467195--key
1181253--MethodDeclaration,118125399839--IfStatement
118125399839--IfStatement,1181253998393256--BinaryOperation
1181253998393256--BinaryOperation,118125399839325651858-->
1181253998393256--BinaryOperation,118125399839325685008--MemberReference
118125399839325685008--MemberReference,11812539983932568500873473--l
1181253998393256--BinaryOperation,118125399839325617713--MemberReference
118125399839325617713--MemberReference,11812539983932561771387523--h
118125399839--IfStatement,11812539983990061--ReturnStatement
11812539983990061--ReturnStatement,1181253998399006121484--Literal
1181253998399006121484--Literal,118125399839900612148492243---
1181253998399006121484--Literal,118125399839900612148439173--1
1181253--MethodDeclaration,11812537468--LocalVariableDeclaration
11812537468--LocalVariableDeclaration,1181253746853840--BasicType
1181253746853840--BasicType,118125374685384054913--int
11812537468--LocalVariableDeclaration,1181253746872093--VariableDeclarator
1181253746872093--VariableDeclarator,118125374687209374110--mid
1181253746872093--VariableDeclarator,118125374687209333233--BinaryOperation
118125374687209333233--BinaryOperation,11812537468720933323389807--/
118125374687209333233--BinaryOperation,11812537468720933323340647--BinaryOperation
11812537468720933323340647--BinaryOperation,1181253746872093332334064727200--+
11812537468720933323340647--BinaryOperation,1181253746872093332334064738351--MemberReference
1181253746872093332334064738351--MemberReference,118125374687209333233406473835169860--l
11812537468720933323340647--BinaryOperation,1181253746872093332334064796922--MemberReference
1181253746872093332334064796922--MemberReference,118125374687209333233406479692231851--h
118125374687209333233--BinaryOperation,11812537468720933323325832--Literal
11812537468720933323325832--Literal,1181253746872093332332583212993--2
1181253--MethodDeclaration,118125345267--IfStatement
118125345267--IfStatement,11812534526763597--BinaryOperation
11812534526763597--BinaryOperation,1181253452676359717170--==
11812534526763597--BinaryOperation,1181253452676359790391--MemberReference
1181253452676359790391--MemberReference,118125345267635979039174256--ArraySelector
118125345267635979039174256--ArraySelector,11812534526763597903917425683830--MemberReference
11812534526763597903917425683830--MemberReference,1181253452676359790391742568383024326--mid
1181253452676359790391--MemberReference,118125345267635979039196248--arr
11812534526763597--BinaryOperation,118125345267635975586--MemberReference
118125345267635975586--MemberReference,11812534526763597558645715--key
118125345267--IfStatement,11812534526736944--ReturnStatement
11812534526736944--ReturnStatement,118125345267369449704--MemberReference
118125345267369449704--MemberReference,11812534526736944970429724--mid
1181253--MethodDeclaration,118125312678--IfStatement
118125312678--IfStatement,11812531267871790--BinaryOperation
11812531267871790--BinaryOperation,1181253126787179096913--<=
11812531267871790--BinaryOperation,1181253126787179011461--MemberReference
1181253126787179011461--MemberReference,118125312678717901146171503--ArraySelector
118125312678717901146171503--ArraySelector,11812531267871790114617150362496--MemberReference
11812531267871790114617150362496--MemberReference,1181253126787179011461715036249647677--l
1181253126787179011461--MemberReference,118125312678717901146127263--arr
11812531267871790--BinaryOperation,118125312678717903462--MemberReference
118125312678717903462--MemberReference,11812531267871790346214693--ArraySelector
11812531267871790346214693--ArraySelector,118125312678717903462146934924--MemberReference
118125312678717903462146934924--MemberReference,11812531267871790346214693492417819--mid
118125312678717903462--MemberReference,1181253126787179034625589--arr
118125312678--IfStatement,11812531267879123--BlockStatement
11812531267879123--BlockStatement,1181253126787912370453--IfStatement
1181253126787912370453--IfStatement,118125312678791237045389632--BinaryOperation
118125312678791237045389632--BinaryOperation,11812531267879123704538963243251--&&
118125312678791237045389632--BinaryOperation,11812531267879123704538963296956--BinaryOperation
11812531267879123704538963296956--BinaryOperation,1181253126787912370453896329695660787-->=
11812531267879123704538963296956--BinaryOperation,1181253126787912370453896329695657411--MemberReference
1181253126787912370453896329695657411--MemberReference,118125312678791237045389632969565741113702--key
11812531267879123704538963296956--BinaryOperation,1181253126787912370453896329695613554--MemberReference
1181253126787912370453896329695613554--MemberReference,118125312678791237045389632969561355479792--ArraySelector
118125312678791237045389632969561355479792--ArraySelector,11812531267879123704538963296956135547979295750--MemberReference
11812531267879123704538963296956135547979295750--MemberReference,1181253126787912370453896329695613554797929575044880--l
1181253126787912370453896329695613554--MemberReference,118125312678791237045389632969561355440550--arr
118125312678791237045389632--BinaryOperation,11812531267879123704538963212679--BinaryOperation
11812531267879123704538963212679--BinaryOperation,1181253126787912370453896321267953605--<=
11812531267879123704538963212679--BinaryOperation,1181253126787912370453896321267929551--MemberReference
1181253126787912370453896321267929551--MemberReference,118125312678791237045389632126792955140559--key
11812531267879123704538963212679--BinaryOperation,1181253126787912370453896321267949343--MemberReference
1181253126787912370453896321267949343--MemberReference,118125312678791237045389632126794934355737--ArraySelector
118125312678791237045389632126794934355737--ArraySelector,11812531267879123704538963212679493435573726797--MemberReference
11812531267879123704538963212679493435573726797--MemberReference,1181253126787912370453896321267949343557372679734047--mid
1181253126787912370453896321267949343--MemberReference,118125312678791237045389632126794934398894--arr
1181253126787912370453--IfStatement,118125312678791237045317674--ReturnStatement
118125312678791237045317674--ReturnStatement,11812531267879123704531767419424--MethodInvocation
11812531267879123704531767419424--MethodInvocation,1181253126787912370453176741942489613--MemberReference
