1--CompilationUnit,11--ClassDeclaration
11--ClassDeclaration,1171458--sq2
11--ClassDeclaration,1184183--MethodDeclaration
1184183--MethodDeclaration,118418313354--set
118418313354--set,11841831335420154--static
1184183--MethodDeclaration,118418326663--BasicType
118418326663--BasicType,1184183266635122--int
1184183--MethodDeclaration,118418351650--maxHamming
1184183--MethodDeclaration,118418347976--FormalParameter
118418347976--FormalParameter,11841834797695781--BasicType
11841834797695781--BasicType,1184183479769578124664--int
118418347976--FormalParameter,11841834797639542--arr
1184183--MethodDeclaration,118418344569--FormalParameter
118418344569--FormalParameter,11841834456986771--BasicType
11841834456986771--BasicType,1184183445698677191123--int
118418344569--FormalParameter,118418344569615--n
1184183--MethodDeclaration,118418331422--LocalVariableDeclaration
118418331422--LocalVariableDeclaration,11841833142283950--BasicType
11841833142283950--BasicType,1184183314228395052077--int
118418331422--LocalVariableDeclaration,11841833142235564--VariableDeclarator
11841833142235564--VariableDeclarator,1184183314223556453957--brr
11841833142235564--VariableDeclarator,1184183314223556433835--ArrayCreator
1184183314223556433835--ArrayCreator,118418331422355643383546475--BasicType
118418331422355643383546475--BasicType,11841833142235564338354647561655--int
1184183314223556433835--ArrayCreator,118418331422355643383519693--BinaryOperation
118418331422355643383519693--BinaryOperation,11841833142235564338351969371101--+
118418331422355643383519693--BinaryOperation,11841833142235564338351969368753--BinaryOperation
11841833142235564338351969368753--BinaryOperation,1184183314223556433835196936875359497--*
11841833142235564338351969368753--BinaryOperation,1184183314223556433835196936875360577--Literal
1184183314223556433835196936875360577--Literal,118418331422355643383519693687536057796205--2
11841833142235564338351969368753--BinaryOperation,1184183314223556433835196936875396778--MemberReference
1184183314223556433835196936875396778--MemberReference,118418331422355643383519693687539677818357--n
118418331422355643383519693--BinaryOperation,11841833142235564338351969322528--Literal
11841833142235564338351969322528--Literal,1184183314223556433835196932252853562--1
1184183--MethodDeclaration,118418386650--ForStatement
118418386650--ForStatement,11841838665020134--ForControl
11841838665020134--ForControl,1184183866502013474578--VariableDeclaration
1184183866502013474578--VariableDeclaration,118418386650201347457868292--BasicType
118418386650201347457868292--BasicType,11841838665020134745786829245477--int
1184183866502013474578--VariableDeclaration,118418386650201347457860055--VariableDeclarator
118418386650201347457860055--VariableDeclarator,11841838665020134745786005537389--i
118418386650201347457860055--VariableDeclarator,11841838665020134745786005519110--Literal
11841838665020134745786005519110--Literal,1184183866502013474578600551911060197--0
11841838665020134--ForControl,1184183866502013492209--BinaryOperation
1184183866502013492209--BinaryOperation,11841838665020134922094761--<
1184183866502013492209--BinaryOperation,118418386650201349220913429--MemberReference
118418386650201349220913429--MemberReference,11841838665020134922091342928613--i
1184183866502013492209--BinaryOperation,11841838665020134922091437--MemberReference
11841838665020134922091437--MemberReference,1184183866502013492209143753435--n
11841838665020134--ForControl,1184183866502013476150--MemberReference
