1--Module,11--If
11--If,1134180--Compare
1134180--Compare,113418074025--__name__
113418074025--__name__,11341807402592492--Load
1134180--Compare,113418098699--Eq
1134180--Compare,113418016336--__main__
11--If,1179417--Assign
1179417--Assign,117941715588--arr
117941715588--arr,11794171558821756--Store
1179417--Assign,117941718277--List
117941718277--List,11794171827742714--UnaryOp
11794171827742714--UnaryOp,1179417182774271420694--USub
11794171827742714--UnaryOp,1179417182774271420107--1
117941718277--List,11794171827758316--UnaryOp
11794171827758316--UnaryOp,1179417182775831679032--USub
11794171827758316--UnaryOp,1179417182775831652595--1
117941718277--List,11794171827718330--6
117941718277--List,1179417182772606--1
117941718277--List,11794171827719474--9
117941718277--List,11794171827778754--3
117941718277--List,11794171827760852--2
117941718277--List,11794171827746618--UnaryOp
11794171827746618--UnaryOp,1179417182774661879642--USub
11794171827746618--UnaryOp,1179417182774661872226--1
117941718277--List,1179417182773717--4
117941718277--List,11794171827767686--UnaryOp
11794171827767686--UnaryOp,1179417182776768686785--USub
11794171827767686--UnaryOp,1179417182776768676537--1
117941718277--List,11794171827713205--Load
11--If,1148083--Assign
1148083--Assign,11480833190--n
11480833190--n,1148083319059732--Store
1148083--Assign,11480831874--Call
11480831874--Call,1148083187469026--len
1148083187469026--len,114808318746902637417--Load
11480831874--Call,1148083187497632--arr
1148083187497632--arr,114808318749763255608--Load
11--If,1110821--Assign
1110821--Assign,111082149755--i
111082149755--i,11108214975568080--Store
1110821--Assign,111082138307--0
11--If,1123240--While
1123240--While,112324055215--Compare
112324055215--Compare,1123240552153620--i
1123240552153620--i,112324055215362045606--Load
112324055215--Compare,11232405521548623--Lt
112324055215--Compare,11232405521519934--n
11232405521519934--n,1123240552151993456250--Load
1123240--While,112324092245--If
112324092245--If,11232409224510601--BoolOp
11232409224510601--BoolOp,1123240922451060129544--And
11232409224510601--BoolOp,1123240922451060168422--Compare
1123240922451060168422--Compare,112324092245106016842249984--Subscript
112324092245106016842249984--Subscript,11232409224510601684224998415856--arr
11232409224510601684224998415856--arr,1123240922451060168422499841585626448--Load
