1--Module,11--FunctionDef:append
11--FunctionDef:append,1196436--arguments
1196436--arguments,119643637086--self
1196436--arguments,119643665771--new_data
11--FunctionDef:append,1125993--Assign
1125993--Assign,1125993848--new_node
1125993848--new_node,112599384880962--Store
1125993--Assign,112599371215--Call
112599371215--Call,11259937121512369--Node
11259937121512369--Node,1125993712151236935467--Load
112599371215--Call,11259937121512196--new_data
11259937121512196--new_data,1125993712151219641078--Load
11--FunctionDef:append,1191060--If
1191060--If,119106054931--Compare
119106054931--Compare,11910605493135101--Attribute
11910605493135101--Attribute,1191060549313510178433--self
1191060549313510178433--self,119106054931351017843396147--Load
11910605493135101--Attribute,1191060549313510151978--Load
119106054931--Compare,1191060549318160--Is
119106054931--Compare,11910605493140648--NameConstant
1191060--If,119106072457--Assign
119106072457--Assign,11910607245762503--Attribute
11910607245762503--Attribute,1191060724576250358104--self
1191060724576250358104--self,119106072457625035810478893--Load
11910607245762503--Attribute,1191060724576250387254--Store
119106072457--Assign,11910607245723880--new_node
11910607245723880--new_node,1191060724572388033699--Load
1191060--If,119106087322--Return
11--FunctionDef:append,1163523--Assign
1163523--Assign,116352393617--last
116352393617--last,11635239361748732--Store
1163523--Assign,116352358588--Attribute
116352358588--Attribute,11635235858884551--self
11635235858884551--self,1163523585888455142975--Load
116352358588--Attribute,11635235858893786--Load
11--FunctionDef:append,1148190--While
1148190--While,114819060881--Attribute
114819060881--Attribute,1148190608818136--last
1148190608818136--last,114819060881813636541--Load
114819060881--Attribute,11481906088119927--Load
1148190--While,114819018970--Assign
114819018970--Assign,11481901897030480--last
11481901897030480--last,1148190189703048066016--Store
114819018970--Assign,11481901897013250--Attribute
11481901897013250--Attribute,1148190189701325037275--last
1148190189701325037275--last,114819018970132503727544753--Load
11481901897013250--Attribute,1148190189701325052240--Load
11--FunctionDef:append,1167982--Assign
1167982--Assign,116798289858--Attribute
116798289858--Attribute,11679828985869931--last
11679828985869931--last,1167982898586993197043--Load
116798289858--Attribute,11679828985895585--Store
1167982--Assign,116798221146--new_node
116798221146--new_node,11679822114625102--Load
