1--Module,11--If
11--If,1120645--Compare
1120645--Compare,112064571833--__name__
112064571833--__name__,11206457183395738--Load
1120645--Compare,112064516800--Eq
1120645--Compare,112064594816--__main__
11--If,1155122--Assign
1155122--Assign,115512286067--arr
115512286067--arr,11551228606797100--Store
1155122--Assign,115512241838--List
115512241838--List,11551224183812321--UnaryOp
11551224183812321--UnaryOp,11551224183812321395--USub
11551224183812321--UnaryOp,1155122418381232163290--1
115512241838--List,11551224183846929--UnaryOp
11551224183846929--UnaryOp,11551224183846929973--USub
11551224183846929--UnaryOp,1155122418384692976596--1
115512241838--List,11551224183817270--6
115512241838--List,11551224183871294--1
115512241838--List,11551224183876771--9
115512241838--List,11551224183848186--3
115512241838--List,11551224183888096--2
115512241838--List,11551224183854747--UnaryOp
11551224183854747--UnaryOp,1155122418385474788376--USub
11551224183854747--UnaryOp,1155122418385474786207--1
115512241838--List,11551224183826051--4
115512241838--List,11551224183810240--UnaryOp
11551224183810240--UnaryOp,1155122418381024085821--USub
11551224183810240--UnaryOp,1155122418381024049627--1
115512241838--List,11551224183827580--Load
11--If,1117218--Assign
1117218--Assign,111721879704--n
111721879704--n,11172187970449654--Store
1117218--Assign,111721828679--Call
111721828679--Call,11172182867968403--len
11172182867968403--len,1117218286796840359996--Load
111721828679--Call,11172182867916928--arr
11172182867916928--arr,1117218286791692892326--Load
11--If,1169342--Assign
1169342--Assign,116934257488--i
116934257488--i,11693425748860356--Store
1169342--Assign,116934227426--0
11--If,1185060--While
1185060--While,118506058499--Compare
118506058499--Compare,11850605849944513--i
11850605849944513--i,1185060584994451353001--Load
118506058499--Compare,11850605849958765--Lt
118506058499--Compare,11850605849963036--n
11850605849963036--n,118506058499630368542--Load
1185060--While,118506039675--If
118506039675--If,11850603967579036--BoolOp
11850603967579036--BoolOp,1185060396757903689052--And
11850603967579036--BoolOp,1185060396757903666211--Compare
1185060396757903666211--Compare,118506039675790366621187990--Subscript
118506039675790366621187990--Subscript,11850603967579036662118799062455--arr
11850603967579036662118799062455--arr,1185060396757903666211879906245579028--Load
118506039675790366621187990--Subscript,11850603967579036662118799071832--Index
11850603967579036662118799071832--Index,1185060396757903666211879907183280160--i
1185060396757903666211879907183280160--i,118506039675790366621187990718328016038675--Load
118506039675790366621187990--Subscript,11850603967579036662118799080269--Load
1185060396757903666211--Compare,118506039675790366621110697--GtE
1185060396757903666211--Compare,118506039675790366621156101--0
11850603967579036--BoolOp,1185060396757903680968--Compare
1185060396757903680968--Compare,118506039675790368096894268--Subscript
118506039675790368096894268--Subscript,11850603967579036809689426869672--arr
11850603967579036809689426869672--arr,1185060396757903680968942686967254335--Load
118506039675790368096894268--Subscript,11850603967579036809689426862144--Index
11850603967579036809689426862144--Index,1185060396757903680968942686214473291--i
1185060396757903680968942686214473291--i,11850603967579036809689426862144732915064--Load
118506039675790368096894268--Subscript,11850603967579036809689426898948--Load
1185060396757903680968--Compare,118506039675790368096841116--NotEq
1185060396757903680968--Compare,118506039675790368096869462--i
118506039675790368096869462--i,11850603967579036809686946282595--Load
118506039675--If,11850603967558648--Assign
11850603967558648--Assign,1185060396755864892418--Tuple
1185060396755864892418--Tuple,118506039675586489241876297--Subscript
118506039675586489241876297--Subscript,11850603967558648924187629765475--arr
11850603967558648924187629765475--arr,1185060396755864892418762976547533619--Load
118506039675586489241876297--Subscript,11850603967558648924187629766265--Index
11850603967558648924187629766265--Index,1185060396755864892418762976626554433--Subscript
1185060396755864892418762976626554433--Subscript,118506039675586489241876297662655443330426--arr
118506039675586489241876297662655443330426--arr,11850603967558648924187629766265544333042675354--Load
1185060396755864892418762976626554433--Subscript,118506039675586489241876297662655443310099--Index
118506039675586489241876297662655443310099--Index,11850603967558648924187629766265544331009949623--i
11850603967558648924187629766265544331009949623--i,1185060396755864892418762976626554433100994962347916--Load
1185060396755864892418762976626554433--Subscript,11850603967558648924187629766265544335407--Load
118506039675586489241876297--Subscript,1185060396755864892418762975709--Store
1185060396755864892418--Tuple,118506039675586489241826667--Subscript
118506039675586489241826667--Subscript,11850603967558648924182666786733--arr
11850603967558648924182666786733--arr,1185060396755864892418266678673339233--Load
118506039675586489241826667--Subscript,11850603967558648924182666768015--Index
11850603967558648924182666768015--Index,1185060396755864892418266676801572424--i
1185060396755864892418266676801572424--i,118506039675586489241826667680157242427802--Load
118506039675586489241826667--Subscript,1185060396755864892418266674563--Store
1185060396755864892418--Tuple,118506039675586489241819181--Store
11850603967558648--Assign,1185060396755864838061--Tuple
1185060396755864838061--Tuple,118506039675586483806155802--Subscript
118506039675586483806155802--Subscript,11850603967558648380615580287436--arr
11850603967558648380615580287436--arr,1185060396755864838061558028743684121--Load
118506039675586483806155802--Subscript,11850603967558648380615580253230--Index
11850603967558648380615580253230--Index,1185060396755864838061558025323047791--i
1185060396755864838061558025323047791--i,118506039675586483806155802532304779163428--Load
118506039675586483806155802--Subscript,11850603967558648380615580231213--Load
1185060396755864838061--Tuple,11850603967558648380619221--Subscript
11850603967558648380619221--Subscript,1185060396755864838061922125297--arr
1185060396755864838061922125297--arr,118506039675586483806192212529749003--Load
11850603967558648380619221--Subscript,1185060396755864838061922149980--Index
1185060396755864838061922149980--Index,118506039675586483806192214998034596--Subscript
118506039675586483806192214998034596--Subscript,11850603967558648380619221499803459633523--arr
11850603967558648380619221499803459633523--arr,1185060396755864838061922149980345963352334407--Load
118506039675586483806192214998034596--Subscript,11850603967558648380619221499803459676429--Index
11850603967558648380619221499803459676429--Index,118506039675586483806192214998034596764298938--i
118506039675586483806192214998034596764298938--i,1185060396755864838061922149980345967642989386347--Load
118506039675586483806192214998034596--Subscript,11850603967558648380619221499803459699891--Load
11850603967558648380619221--Subscript,1185060396755864838061922140887--Load
1185060396755864838061--Tuple,118506039675586483806141963--Load
118506039675--If,1185060396755345--AugAssign
1185060396755345--AugAssign,118506039675534512116--i
118506039675534512116--i,11850603967553451211696127--Store
1185060396755345--AugAssign,118506039675534548103--Add
1185060396755345--AugAssign,118506039675534523024--1
11--If,1149167--For
1149167--For,114916754764--i
114916754764--i,11491675476452495--Store
1149167--For,11491679597--Call
11491679597--Call,114916795979818--range
114916795979818--range,11491679597981875494--Load
11491679597--Call,1149167959759116--n
1149167959759116--n,114916795975911628294--Load
1149167--For,114916716274--Expr
114916716274--Expr,11491671627487221--Call
11491671627487221--Call,1149167162748722123138--print
1149167162748722123138--print,11491671627487221231387966--Load
