1--Module,11--If
11--If,1165643--Compare
1165643--Compare,116564353386--__name__
116564353386--__name__,11656435338659202--Load
1165643--Compare,116564367350--Eq
1165643--Compare,116564310660--__main__
11--If,1133159--Assign
1133159--Assign,11331599182--arr
11331599182--arr,1133159918273083--Store
1133159--Assign,113315996918--List
113315996918--List,11331599691881631--10
113315996918--List,1133159969183362--50
113315996918--List,11331599691827383--30
113315996918--List,11331599691860706--40
113315996918--List,11331599691844757--20
113315996918--List,11331599691822515--Load
11--If,1142835--Assign
1142835--Assign,114283579265--key
114283579265--key,11428357926527215--Store
1142835--Assign,114283546422--30
11--If,1195187--Expr
1195187--Expr,119518786251--Call
119518786251--Call,11951878625139536--print
11951878625139536--print,119518786251395367263--Load
119518786251--Call,11951878625111604--Array before deletion:
11--If,1116041--Expr
1116041--Expr,111604156495--Call
111604156495--Call,11160415649554456--print
11160415649554456--print,1116041564955445625184--Load
111604156495--Call,11160415649585567--arr
11160415649585567--arr,1116041564958556738854--Load
11--If,1177065--Expr
1177065--Expr,117706548186--Call
117706548186--Call,11770654818645314--Attribute
11770654818645314--Attribute,1177065481864531495212--arr
1177065481864531495212--arr,117706548186453149521295011--Load
11770654818645314--Attribute,1177065481864531413617--Load
117706548186--Call,11770654818682992--key
11770654818682992--key,1177065481868299240974--Load
11--If,1115042--Expr
1115042--Expr,111504261114--Call
111504261114--Call,11150426111452019--print
11150426111452019--print,1115042611145201962572--Load
111504261114--Call,11150426111477817--Array after deletion
11--If,1183747--Expr
1183747--Expr,118374714989--Call
118374714989--Call,11837471498982509--print
11837471498982509--print,1183747149898250997947--Load
118374714989--Call,11837471498924086--arr
11837471498924086--arr,1183747149892408626334--Load
