1--CompilationUnit,11--ClassDeclaration
11--ClassDeclaration,1148141--set
1148141--set,114814116714--public
11--ClassDeclaration,1151420--ON_83
11--ClassDeclaration,1125796--ClassDeclaration
1125796--ClassDeclaration,112579624718--set
112579624718--set,11257962471880487--static
1125796--ClassDeclaration,11257967433--Pair
1125796--ClassDeclaration,112579646477--FieldDeclaration
112579646477--FieldDeclaration,11257964647723325--BasicType
11257964647723325--BasicType,1125796464772332563383--int
112579646477--FieldDeclaration,11257964647718323--VariableDeclarator
11257964647718323--VariableDeclarator,1125796464771832311345--min
1125796--ClassDeclaration,112579694124--FieldDeclaration
112579694124--FieldDeclaration,11257969412432738--BasicType
11257969412432738--BasicType,1125796941243273855250--int
112579694124--FieldDeclaration,1125796941242577--VariableDeclarator
1125796941242577--VariableDeclarator,112579694124257740653--max
11--ClassDeclaration,1164293--MethodDeclaration
1164293--MethodDeclaration,116429336418--set
116429336418--set,11642933641819713--static
1164293--MethodDeclaration,116429320746--ReferenceType
116429320746--ReferenceType,11642932074641790--Pair
1164293--MethodDeclaration,116429337835--getMinMax
1164293--MethodDeclaration,116429394078--FormalParameter
116429394078--FormalParameter,11642939407878467--BasicType
11642939407878467--BasicType,116429394078784677925--int
116429394078--FormalParameter,11642939407859765--arr
1164293--MethodDeclaration,116429355499--FormalParameter
116429355499--FormalParameter,11642935549933488--BasicType
11642935549933488--BasicType,1164293554993348856905--int
116429355499--FormalParameter,11642935549916164--n
1164293--MethodDeclaration,116429363131--LocalVariableDeclaration
116429363131--LocalVariableDeclaration,11642936313116622--ReferenceType
11642936313116622--ReferenceType,1164293631311662216884--Pair
116429363131--LocalVariableDeclaration,11642936313132748--VariableDeclarator
11642936313132748--VariableDeclarator,1164293631313274856924--minmax
11642936313132748--VariableDeclarator,1164293631313274872463--ClassCreator
1164293631313274872463--ClassCreator,116429363131327487246380716--ReferenceType
116429363131327487246380716--ReferenceType,11642936313132748724638071612209--Pair
1164293--MethodDeclaration,116429366586--LocalVariableDeclaration
