1--CompilationUnit,11--ClassDeclaration
11--ClassDeclaration,1115686--ON_84
11--ClassDeclaration,1111089--MethodDeclaration
1111089--MethodDeclaration,111108984275--set
111108984275--set,11110898427531946--public
111108984275--set,11110898427556860--static
1111089--MethodDeclaration,111108923569--BasicType
111108923569--BasicType,11110892356925387--int
1111089--MethodDeclaration,11110891587--findFrequency
1111089--MethodDeclaration,11110899588--FormalParameter
11110899588--FormalParameter,1111089958853348--BasicType
1111089958853348--BasicType,111108995885334841165--int
11110899588--FormalParameter,1111089958853416--arr
1111089--MethodDeclaration,111108960039--FormalParameter
111108960039--FormalParameter,11110896003955313--BasicType
11110896003955313--BasicType,1111089600395531385555--int
111108960039--FormalParameter,11110896003976425--n
1111089--MethodDeclaration,111108987870--FormalParameter
111108987870--FormalParameter,11110898787034906--BasicType
11110898787034906--BasicType,1111089878703490614598--int
111108987870--FormalParameter,11110898787098486--left
1111089--MethodDeclaration,111108936817--FormalParameter
111108936817--FormalParameter,11110893681754310--BasicType
11110893681754310--BasicType,1111089368175431092826--int
111108936817--FormalParameter,11110893681771761--right
1111089--MethodDeclaration,111108946700--FormalParameter
111108946700--FormalParameter,11110894670026039--BasicType
11110894670026039--BasicType,1111089467002603949222--int
111108946700--FormalParameter,11110894670022734--element
1111089--MethodDeclaration,111108923778--LocalVariableDeclaration
111108923778--LocalVariableDeclaration,11110892377842260--BasicType
11110892377842260--BasicType,1111089237784226073901--int
111108923778--LocalVariableDeclaration,11110892377881598--VariableDeclarator
11110892377881598--VariableDeclarator,111108923778815985429--count
11110892377881598--VariableDeclarator,1111089237788159824684--Literal
1111089237788159824684--Literal,111108923778815982468485301--0
1111089--MethodDeclaration,111108921166--ForStatement
111108921166--ForStatement,11110892116628484--ForControl
11110892116628484--ForControl,1111089211662848428032--VariableDeclaration
1111089211662848428032--VariableDeclaration,111108921166284842803221970--BasicType
111108921166284842803221970--BasicType,11110892116628484280322197041637--int
1111089211662848428032--VariableDeclaration,111108921166284842803252750--VariableDeclarator
111108921166284842803252750--VariableDeclarator,11110892116628484280325275032791--i
111108921166284842803252750--VariableDeclarator,11110892116628484280325275020702--BinaryOperation
11110892116628484280325275020702--BinaryOperation,1111089211662848428032527502070225200---
11110892116628484280325275020702--BinaryOperation,1111089211662848428032527502070250287--MemberReference
1111089211662848428032527502070250287--MemberReference,111108921166284842803252750207025028764481--left
11110892116628484280325275020702--BinaryOperation,1111089211662848428032527502070283765--Literal
1111089211662848428032527502070283765--Literal,111108921166284842803252750207028376533938--1
11110892116628484--ForControl,1111089211662848448391--BinaryOperation
1111089211662848448391--BinaryOperation,111108921166284844839139797--<
1111089211662848448391--BinaryOperation,111108921166284844839133901--MemberReference
111108921166284844839133901--MemberReference,11110892116628484483913390147572--i
1111089211662848448391--BinaryOperation,111108921166284844839155644--MemberReference
