1--CompilationUnit,11--ClassDeclaration
11--ClassDeclaration,1115992--ON_138
11--ClassDeclaration,1189415--MethodDeclaration
1189415--MethodDeclaration,118941516646--printMajority
1189415--MethodDeclaration,118941593698--FormalParameter
118941593698--FormalParameter,11894159369819828--BasicType
11894159369819828--BasicType,1189415936981982891650--int
118941593698--FormalParameter,11894159369842917--a
1189415--MethodDeclaration,118941586303--FormalParameter
118941586303--FormalParameter,11894158630310408--BasicType
11894158630310408--BasicType,1189415863031040864126--int
118941586303--FormalParameter,11894158630362445--size
1189415--MethodDeclaration,118941545352--LocalVariableDeclaration
118941545352--LocalVariableDeclaration,11894154535244796--BasicType
11894154535244796--BasicType,1189415453524479684394--int
118941545352--LocalVariableDeclaration,11894154535237978--VariableDeclarator
11894154535237978--VariableDeclarator,118941545352379789350--cand
11894154535237978--VariableDeclarator,1189415453523797851630--MethodInvocation
1189415453523797851630--MethodInvocation,118941545352379785163050996--MemberReference
118941545352379785163050996--MemberReference,11894154535237978516305099644217--a
1189415453523797851630--MethodInvocation,118941545352379785163015854--MemberReference
118941545352379785163015854--MemberReference,11894154535237978516301585425442--size
1189415453523797851630--MethodInvocation,11894154535237978516307872--findCandidate
1189415--MethodDeclaration,118941514514--IfStatement
118941514514--IfStatement,11894151451499100--MethodInvocation
11894151451499100--MethodInvocation,1189415145149910017696--MemberReference
1189415145149910017696--MemberReference,118941514514991001769635750--a
11894151451499100--MethodInvocation,1189415145149910041090--MemberReference
1189415145149910041090--MemberReference,118941514514991004109072396--size
11894151451499100--MethodInvocation,1189415145149910066945--MemberReference
1189415145149910066945--MemberReference,118941514514991006694518462--cand
11894151451499100--MethodInvocation,1189415145149910013321--isMajority
118941514514--IfStatement,11894151451465918--StatementExpression
11894151451465918--StatementExpression,1189415145146591836647--MethodInvocation
1189415145146591836647--MethodInvocation,118941514514659183664720974--System.out
1189415145146591836647--MethodInvocation,118941514514659183664781919--BinaryOperation
118941514514659183664781919--BinaryOperation,11894151451465918366478191952078--+
118941514514659183664781919--BinaryOperation,11894151451465918366478191938330--BinaryOperation
11894151451465918366478191938330--BinaryOperation,1189415145146591836647819193833098336--+
11894151451465918366478191938330--BinaryOperation,1189415145146591836647819193833055375--Literal
1189415145146591836647819193833055375--Literal,118941514514659183664781919383305537580337--" "
11894151451465918366478191938330--BinaryOperation,118941514514659183664781919383301593--MemberReference
118941514514659183664781919383301593--MemberReference,11894151451465918366478191938330159363727--cand
118941514514659183664781919--BinaryOperation,11894151451465918366478191914938--Literal
11894151451465918366478191914938--Literal,1189415145146591836647819191493876310--" "
1189415145146591836647--MethodInvocation,118941514514659183664784239--println
118941514514--IfStatement,1189415145146404--StatementExpression
1189415145146404--StatementExpression,11894151451464044738--MethodInvocation
11894151451464044738--MethodInvocation,1189415145146404473842456--System.out
11894151451464044738--MethodInvocation,1189415145146404473834516--Literal
1189415145146404473834516--Literal,118941514514640447383451613744--"No Majority Element"
11894151451464044738--MethodInvocation,1189415145146404473873721--println
11--ClassDeclaration,1194216--MethodDeclaration
1194216--MethodDeclaration,119421613245--BasicType
119421613245--BasicType,11942161324539082--int
1194216--MethodDeclaration,119421650954--findCandidate
1194216--MethodDeclaration,119421662143--FormalParameter
119421662143--FormalParameter,11942166214390836--BasicType
11942166214390836--BasicType,119421662143908364300--int
119421662143--FormalParameter,119421662143172--a
1194216--MethodDeclaration,119421615153--FormalParameter
119421615153--FormalParameter,11942161515312588--BasicType
11942161515312588--BasicType,1194216151531258841237--int
119421615153--FormalParameter,11942161515382543--size
1194216--MethodDeclaration,119421690398--LocalVariableDeclaration
119421690398--LocalVariableDeclaration,11942169039895036--BasicType
11942169039895036--BasicType,1194216903989503691948--int
119421690398--LocalVariableDeclaration,11942169039865482--VariableDeclarator
11942169039865482--VariableDeclarator,119421690398654823820--maj_index
11942169039865482--VariableDeclarator,1194216903986548291068--Literal
1194216903986548291068--Literal,119421690398654829106821817--0
119421690398--LocalVariableDeclaration,119421690398600--VariableDeclarator
119421690398600--VariableDeclarator,11942169039860043183--count
119421690398600--VariableDeclarator,11942169039860078890--Literal
11942169039860078890--Literal,1194216903986007889038998--1
1194216--MethodDeclaration,119421631403--LocalVariableDeclaration
119421631403--LocalVariableDeclaration,11942163140383130--BasicType
11942163140383130--BasicType,1194216314038313065440--int
119421631403--LocalVariableDeclaration,11942163140376849--VariableDeclarator
11942163140376849--VariableDeclarator,1194216314037684982064--i
1194216--MethodDeclaration,119421628897--ForStatement
119421628897--ForStatement,11942162889740642--ForControl
11942162889740642--ForControl,1194216288974064223800--Assignment
1194216288974064223800--Assignment,119421628897406422380054230--MemberReference
119421628897406422380054230--MemberReference,11942162889740642238005423016791--i
1194216288974064223800--Assignment,119421628897406422380071682--Literal
119421628897406422380071682--Literal,11942162889740642238007168275906--1
1194216288974064223800--Assignment,119421628897406422380048292--=
11942162889740642--ForControl,1194216288974064211901--BinaryOperation
1194216288974064211901--BinaryOperation,119421628897406421190111852--<
1194216288974064211901--BinaryOperation,119421628897406421190167087--MemberReference
119421628897406421190167087--MemberReference,11942162889740642119016708756662--i
1194216288974064211901--BinaryOperation,11942162889740642119018221--MemberReference
11942162889740642119018221--MemberReference,1194216288974064211901822181840--size
11942162889740642--ForControl,1194216288974064272869--MemberReference
1194216288974064272869--MemberReference,119421628897406427286967282--++
1194216288974064272869--MemberReference,119421628897406427286935841--i
119421628897--ForStatement,11942162889793261--BlockStatement
11942162889793261--BlockStatement,1194216288979326174722--IfStatement
1194216288979326174722--IfStatement,119421628897932617472267653--BinaryOperation
119421628897932617472267653--BinaryOperation,11942162889793261747226765350239--==
119421628897932617472267653--BinaryOperation,11942162889793261747226765357170--MemberReference
11942162889793261747226765357170--MemberReference,1194216288979326174722676535717033579--ArraySelector
1194216288979326174722676535717033579--ArraySelector,119421628897932617472267653571703357978605--MemberReference
119421628897932617472267653571703357978605--MemberReference,11942162889793261747226765357170335797860568594--maj_index
11942162889793261747226765357170--MemberReference,1194216288979326174722676535717023299--a
119421628897932617472267653--BinaryOperation,11942162889793261747226765334768--MemberReference
11942162889793261747226765334768--MemberReference,1194216288979326174722676533476823074--ArraySelector
1194216288979326174722676533476823074--ArraySelector,11942162889793261747226765334768230747633--MemberReference
11942162889793261747226765334768230747633--MemberReference,119421628897932617472267653347682307476337304--i
11942162889793261747226765334768--MemberReference,1194216288979326174722676533476837969--a
1194216288979326174722--IfStatement,119421628897932617472297220--StatementExpression
119421628897932617472297220--StatementExpression,11942162889793261747229722077864--MemberReference
11942162889793261747229722077864--MemberReference,1194216288979326174722972207786479416--++
11942162889793261747229722077864--MemberReference,1194216288979326174722972207786452149--count
1194216288979326174722--IfStatement,119421628897932617472272989--StatementExpression
119421628897932617472272989--StatementExpression,11942162889793261747227298960650--MemberReference
11942162889793261747227298960650--MemberReference,1194216288979326174722729896065026024----
11942162889793261747227298960650--MemberReference,1194216288979326174722729896065015227--count
11942162889793261--BlockStatement,1194216288979326124579--IfStatement
1194216288979326124579--IfStatement,119421628897932612457950993--BinaryOperation
119421628897932612457950993--BinaryOperation,11942162889793261245795099366950--==
119421628897932612457950993--BinaryOperation,1194216288979326124579509935623--MemberReference
1194216288979326124579509935623--MemberReference,119421628897932612457950993562349222--count
119421628897932612457950993--BinaryOperation,11942162889793261245795099343713--Literal
11942162889793261245795099343713--Literal,1194216288979326124579509934371391941--0
1194216288979326124579--IfStatement,119421628897932612457997233--BlockStatement
119421628897932612457997233--BlockStatement,11942162889793261245799723387686--StatementExpression
11942162889793261245799723387686--StatementExpression,1194216288979326124579972338768664488--Assignment
1194216288979326124579972338768664488--Assignment,119421628897932612457997233876866448812321--MemberReference
119421628897932612457997233876866448812321--MemberReference,1194216288979326124579972338768664488123213604--maj_index
1194216288979326124579972338768664488--Assignment,119421628897932612457997233876866448891098--MemberReference
119421628897932612457997233876866448891098--MemberReference,11942162889793261245799723387686644889109812370--i
1194216288979326124579972338768664488--Assignment,119421628897932612457997233876866448862446--=
119421628897932612457997233--BlockStatement,11942162889793261245799723373833--StatementExpression
11942162889793261245799723373833--StatementExpression,1194216288979326124579972337383344229--Assignment
1194216288979326124579972337383344229--Assignment,119421628897932612457997233738334422916154--MemberReference
119421628897932612457997233738334422916154--MemberReference,11942162889793261245799723373833442291615478194--count
1194216288979326124579972337383344229--Assignment,119421628897932612457997233738334422929571--Literal
119421628897932612457997233738334422929571--Literal,11942162889793261245799723373833442292957114844--1
1194216288979326124579972337383344229--Assignment,119421628897932612457997233738334422943080--=
1194216--MethodDeclaration,119421639500--ReturnStatement
119421639500--ReturnStatement,11942163950062459--MemberReference
11942163950062459--MemberReference,1194216395006245997619--ArraySelector
1194216395006245997619--ArraySelector,119421639500624599761925659--MemberReference
119421639500624599761925659--MemberReference,11942163950062459976192565985533--maj_index
11942163950062459--MemberReference,1194216395006245938906--a
11--ClassDeclaration,1175477--MethodDeclaration
1175477--MethodDeclaration,117547738103--BasicType
117547738103--BasicType,11754773810387769--boolean
1175477--MethodDeclaration,117547732436--isMajority
1175477--MethodDeclaration,117547713245--FormalParameter
117547713245--FormalParameter,11754771324536266--BasicType
11754771324536266--BasicType,117547713245362665835--int
117547713245--FormalParameter,11754771324533300--a
1175477--MethodDeclaration,11754771577--FormalParameter
11754771577--FormalParameter,117547715772824--BasicType
117547715772824--BasicType,11754771577282475416--int
11754771577--FormalParameter,1175477157778140--size
1175477--MethodDeclaration,117547723590--FormalParameter
