1--Module,11--If
11--If,114749--Compare
114749--Compare,11474936779--__name__
11474936779--__name__,1147493677939902--Load
114749--Compare,11474910796--Eq
114749--Compare,11474998813--__main__
11--If,1110250--Assign
1110250--Assign,111025019436--a
111025019436--a,11102501943681136--Store
1110250--Assign,111025083844--List
111025083844--List,11102508384412988--1
111025083844--List,11102508384413394--2
111025083844--List,11102508384468721--1
111025083844--List,11102508384468188--4
111025083844--List,11102508384462205--5
111025083844--List,11102508384479577--6
111025083844--List,11102508384492476--8
111025083844--List,11102508384411349--8
111025083844--List,11102508384479384--Load
11--If,1143131--Assign
1143131--Assign,11431313505--n
11431313505--n,1143131350576192--Store
1143131--Assign,114313126431--Call
114313126431--Call,11431312643110194--len
11431312643110194--len,114313126431101941228--Load
114313126431--Call,11431312643167870--a
11431312643167870--a,1143131264316787016104--Load
11--If,1155285--Assign
1155285--Assign,115528556921--b
115528556921--b,11552855692113607--Store
1155285--Assign,115528547040--BinOp
115528547040--BinOp,1155285470407429--List
1155285470407429--List,115528547040742957028--0
1155285470407429--List,115528547040742959170--Load
115528547040--BinOp,11552854704037593--Mult
115528547040--BinOp,11552854704023062--n
11552854704023062--n,1155285470402306266055--Load
11--If,1172577--For
1172577--For,117257768337--i
117257768337--i,11725776833722961--Store
1172577--For,117257726003--Call
117257726003--Call,11725772600370004--range
11725772600370004--range,117257726003700043246--Load
117257726003--Call,11725772600342065--n
11725772600342065--n,1172577260034206594084--Load
1172577--For,117257725642--Assign
117257725642--Assign,11725772564255648--Subscript
11725772564255648--Subscript,1172577256425564888312--b
1172577256425564888312--b,117257725642556488831292111--Load
11725772564255648--Subscript,1172577256425564859194--Index
1172577256425564859194--Index,117257725642556485919497407--i
117257725642556485919497407--i,11725772564255648591949740751493--Load
11725772564255648--Subscript,1172577256425564883378--Store
117257725642--Assign,11725772564265--Subscript
11725772564265--Subscript,1172577256426537844--a
1172577256426537844--a,117257725642653784429329--Load
11725772564265--Subscript,1172577256426597175--Index
1172577256426597175--Index,117257725642659717540033--i
117257725642659717540033--i,11725772564265971754003332714--Load
11725772564265--Subscript,1172577256426555377--Load
11--If,1138206--Expr
1138206--Expr,113820636082--Call
113820636082--Call,11382063608238733--Attribute
11382063608238733--Attribute,1138206360823873325655--b
1138206360823873325655--b,113820636082387332565585956--Load
11382063608238733--Attribute,1138206360823873327161--Load
11--If,1185108--Assign
1185108--Assign,118510840320--p
118510840320--p,11851084032094474--Store
1185108--Assign,118510856749--0
11--If,1168801--Assign
1168801--Assign,116880143845--q
116880143845--q,11688014384537811--Store
1168801--Assign,11688018788--BinOp
11688018788--BinOp,1168801878864581--n
1168801878864581--n,116880187886458155578--Load
11688018788--BinOp,1168801878869409--Sub
11688018788--BinOp,1168801878826500--1
11--If,1125560--For
1125560--For,112556096841--i
112556096841--i,11255609684172630--Store
