1--Module,11--If
11--If,1196958--Compare
1196958--Compare,119695882511--__name__
119695882511--__name__,11969588251189302--Load
1196958--Compare,119695810442--Eq
1196958--Compare,119695816710--__main__
11--If,119287--Assign
119287--Assign,11928722488--a
11928722488--a,119287224882941--Store
119287--Assign,11928761843--List
11928761843--List,1192876184341808--1
11928761843--List,1192876184359023--2
11928761843--List,1192876184312253--1
11928761843--List,1192876184341953--4
11928761843--List,1192876184379663--5
11928761843--List,1192876184333380--6
11928761843--List,1192876184355609--8
11928761843--List,1192876184367420--8
11928761843--List,1192876184365498--Load
11--If,1171997--Assign
1171997--Assign,117199787557--n
117199787557--n,11719978755798735--Store
1171997--Assign,117199764932--Call
117199764932--Call,11719976493294386--len
11719976493294386--len,1171997649329438692999--Load
117199764932--Call,11719976493271649--a
11719976493271649--a,1171997649327164996541--Load
11--If,1175763--Assign
1175763--Assign,117576364104--b
117576364104--b,11757636410466834--Store
1175763--Assign,117576350375--BinOp
117576350375--BinOp,11757635037587968--List
11757635037587968--List,1175763503758796851761--0
11757635037587968--List,1175763503758796866919--Load
117576350375--BinOp,11757635037525969--Mult
117576350375--BinOp,11757635037530760--n
11757635037530760--n,1175763503753076037613--Load
11--If,1160919--For
1160919--For,11609192752--i
11609192752--i,1160919275224265--Store
1160919--For,11609198066--Call
11609198066--Call,116091980664462--range
116091980664462--range,11609198066446296464--Load
11609198066--Call,1160919806629100--n
1160919806629100--n,116091980662910059268--Load
1160919--For,116091938635--Assign
116091938635--Assign,11609193863554484--Subscript
11609193863554484--Subscript,1160919386355448497497--b
1160919386355448497497--b,116091938635544849749728243--Load
11609193863554484--Subscript,1160919386355448423792--Index
1160919386355448423792--Index,116091938635544842379219044--i
116091938635544842379219044--i,11609193863554484237921904466028--Load
11609193863554484--Subscript,1160919386355448422937--Store
116091938635--Assign,11609193863566675--Subscript
11609193863566675--Subscript,116091938635666751128--a
116091938635666751128--a,11609193863566675112827406--Load
11609193863566675--Subscript,1160919386356667552176--Index
1160919386356667552176--Index,116091938635666755217687389--i
116091938635666755217687389--i,1160919386356667552176873893530--Load
11609193863566675--Subscript,1160919386356667561779--Load
11--If,1197529--Expr
1197529--Expr,119752923228--Call
119752923228--Call,11975292322889258--Attribute
11975292322889258--Attribute,1197529232288925860260--b
1197529232288925860260--b,11975292322889258602602881--Load
11975292322889258--Attribute,1197529232288925833042--Load
11--If,1110203--Assign
1110203--Assign,111020342735--p
111020342735--p,1110203427353289--Store
1110203--Assign,11102038826--0
11--If,1179672--Assign
1179672--Assign,117967291823--q
117967291823--q,11796729182374445--Store
1179672--Assign,117967269554--BinOp
117967269554--BinOp,11796726955483941--n
11796726955483941--n,1179672695548394114431--Load
117967269554--BinOp,11796726955464778--Sub
117967269554--BinOp,11796726955434127--1
11--If,1186436--For
1186436--For,118643630499--i
118643630499--i,11864363049948862--Store
1186436--For,118643632753--Call
118643632753--Call,1186436327532976--range
1186436327532976--range,118643632753297669068--Load
118643632753--Call,11864363275391300--BinOp
11864363275391300--BinOp,1186436327539130017477--n
1186436327539130017477--n,118643632753913001747790239--Load
11864363275391300--BinOp,1186436327539130014983--Sub
11864363275391300--BinOp,1186436327539130032438--1
118643632753--Call,11864363275313687--UnaryOp
11864363275313687--UnaryOp,1186436327531368784481--USub
