1--Module,11--If
11--If,1135080--Compare
1135080--Compare,113508097501--__name__
113508097501--__name__,11350809750112376--Load
1135080--Compare,113508043124--Eq
1135080--Compare,113508060202--__main__
11--If,1141226--Assign
1141226--Assign,11412264827--arr
11412264827--arr,1141226482795575--Store
1141226--Assign,114122630125--List
114122630125--List,1141226301253936--12
114122630125--List,11412263012574828--3
114122630125--List,11412263012533878--5
114122630125--List,11412263012544590--7
114122630125--List,11412263012534552--19
114122630125--List,11412263012549060--Load
11--If,1115498--Assign
1115498--Assign,111549897280--N
111549897280--N,1115498972809826--Store
1115498--Assign,111549882811--Call
111549882811--Call,11154988281183943--len
11154988281183943--len,1115498828118394358847--Load
111549882811--Call,11154988281178841--arr
11154988281178841--arr,1115498828117884117740--Load
11--If,1140397--Assign
1140397--Assign,114039778125--K
114039778125--K,11403977812516937--Store
1140397--Assign,114039735163--4
11--If,1198479--Assign
1198479--Assign,119847974723--s
119847974723--s,11984797472351066--Store
1198479--Assign,119847982697--Call
119847982697--Call,11984798269711701--set
11984798269711701--set,1198479826971170132914--Load
119847982697--Call,1198479826978827--arr
1198479826978827--arr,119847982697882768010--Load
11--If,1152659--For
1152659--For,115265956719--itr
115265956719--itr,11526595671990456--Store
1152659--For,11526594232--s
11526594232--s,1152659423231033--Load
1152659--For,115265964374--If
115265964374--If,11526596437485055--Compare
11526596437485055--Compare,1152659643748505544574--K
1152659643748505544574--K,115265964374850554457441525--Load
11526596437485055--Compare,1152659643748505571237--Eq
11526596437485055--Compare,1152659643748505587605--1
115265964374--If,11526596437488836--Expr
11526596437488836--Expr,1152659643748883640438--Call
1152659643748883640438--Call,115265964374888364043827723--print
115265964374888364043827723--print,11526596437488836404382772376142--Load
1152659643748883640438--Call,115265964374888364043858141--itr
115265964374888364043858141--itr,11526596437488836404385814181413--Load
115265964374--If,11526596437482416--Break
1152659--For,115265926456--AugAssign
115265926456--AugAssign,11526592645627472--K
11526592645627472--K,1152659264562747234137--Store
115265926456--AugAssign,11526592645643307--Sub
115265926456--AugAssign,11526592645645299--1
