11952--Compound,119521--For
1193--FuncDef,11931--Decl
1195112--printArray,11951121--void
119621--Decl,1196212--InitList
1--FileAST,1196--FuncDef
11932321--ArrayRef,119323212--++
1196242--ExprList,11962421--arr
11962221--sizeof,119622211--arr
11942--Compound,119423--FuncCall
11962--Compound,119625--FuncCall
1196212--InitList,11962128--0
11942222---,119422221--n
1193223--++,11932231--i
11932--Compound,119321--Decl
1--FileAST,1194--FuncDef
11941112--Decl,119411121--n
1196211--ArrayDecl,11962111--arr
119422412--Compound,1194224121--=
11941--Decl,119411--FuncDecl
119322421--ArrayRef,1193224211--arr
11942241121--ArrayRef,119422411212--i
1193231--<,11932312--n
1196252--ExprList,11962522--n
119422412--Compound,1194224123--++
1194111111--arr,11941111111--int
11962--Compound,119626--FuncCall
1193112--pushZerosToEnd,11931121--void
1196232--ExprList,11962321--"Original array: "
119322422--ArrayRef,1193224222--i
11962111--arr,119621111--int
119521422--ArrayRef,1195214222--i
119321--Decl,1193212--0
119422412122--ArrayRef,1194224121222--i
11942222---,119422222--1
1194224111--!=,11942241111--ArrayRef
119627--FuncCall,1196271--printArray
1194222--<,11942222---
1196212--InitList,119621210--8
119627--FuncCall,1196272--ExprList
1195212--<,11952122--n
119411--FuncDecl,1194111--ParamList
1194224123--++,11942241231--i
11932242--=,119322422--ArrayRef
119422111--i,1194221111--int
1196--FuncDef,11961--Decl
119421--If,1194212--Return
11942--Compound,119422--For
119323--While,1193232--=
11942241122--ArrayRef,119422411221--arr
119622--Decl,1196221--n
1194222--<,11942221--i
119422411--&&,1194224111--!=
1194112--modifyAndRearrangeArr,11941121--void
1194224112--==,11942241122--ArrayRef
119626--FuncCall,1196262--ExprList
119511111--ArrayDecl,1195111111--arr
119423--FuncCall,1194231--pushZerosToEnd
1193232--=,11932321--ArrayRef
119422411222--+,1194224112221--i
1193222--<,11932222--n
119422411--&&,1194224112--==
1196212--InitList,11962123--2
11961--Decl,119611--FuncDecl
119311121--n,1193111211--int
119622--Decl,1196222--/
1194232--ExprList,11942321--arr
1196212--InitList,11962127--6
1196212--InitList,11962124--2
11952142--ExprList,119521422--ArrayRef
119521--For,1195212--<
11942241111--ArrayRef,119422411111--arr
119323--While,1193231--<
1194224122--=,11942241221--ArrayRef
1195213--++,11952131--i
1195111--ParamList,11951112--Decl
119322411--ArrayRef,1193224112--i
11952111--Decl,119521111--i
1193232--=,11932322--0
119422412212--+,1194224122122--1
119625--FuncCall,1196252--ExprList
119521--For,1195213--++
119521422--ArrayRef,1195214221--arr
11932241--!=,119322411--ArrayRef
1193111111--arr,11931111111--int
1196212--InitList,11962126--6
119422412--Compound,1194224122--=
11962--Compound,119624--FuncCall
11932241--!=,119322412--0
119322422--ArrayRef,1193224221--arr
1193--FuncDef,11932--Compound
1193231--<,11932311--count
11942241212--*,119422412122--ArrayRef
1196212--InitList,11962125--0
1194224121--=,11942241212--*
119624--FuncCall,1196242--ExprList
11962--Compound,119621--Decl
1193111--ParamList,11931111--Decl
11942241211--ArrayRef,119422412111--arr
1196111--main,11961111--int
11962--Compound,119622--Decl
11952142--ExprList,119521421--"%d "
1196212--InitList,11962122--2
11962--Compound,119628--Return
119322--For,1193222--<
119411111--ArrayDecl,1194111111--arr
1195211--DeclList,11952111--Decl
119622221--ArrayRef,1196222211--arr
119423--FuncCall,1194232--ExprList
11942241122--ArrayRef,119422411222--+
1193224--If,11932242--=
1193211--count,11932111--int
1196212--InitList,11962129--0
119421--If,1194211--==
1194111--ParamList,11941112--Decl
11951111--Decl,119511111--ArrayDecl
119521--For,1195214--FuncCall
119422--For,1194224--Compound
11952111--Decl,119521112--0
11931112--Decl,119311121--n
119422412212--+,1194224122121--i
11942241211--ArrayRef,119422412112--i
119622221--ArrayRef,1196222212--0
119625--FuncCall,1196251--modifyAndRearrangeArr
119521--For,1195211--DeclList
119311111--ArrayDecl,1193111111--arr
119422--For,1194221--DeclList
1195111--ParamList,11951111--Decl
1196--FuncDef,11962--Compound
1196272--ExprList,11962722--n
1194111--ParamList,11941111--Decl
1194211--==,11942111--n
119311--FuncDecl,1193112--pushZerosToEnd
1194224--Compound,11942241--If
11942241221--ArrayRef,119422412212--+
119511--FuncDecl,1195111--ParamList
11932211--Decl,119322112--0
1195214--FuncCall,11952142--ExprList
11942241221--ArrayRef,119422412211--arr
1196221--n,11962211--int
1195214--FuncCall,11952141--printf
11931111--Decl,119311111--ArrayDecl
1195--FuncDef,11951--Decl
11942241121--ArrayRef,119422411211--arr
1194232--ExprList,11942322--n
11942241--If,119422411--&&
1196222--/,11962221--sizeof
119411121--n,1194111211--int
11932211--Decl,119322111--i
1195--FuncDef,11952--Compound
1193111--ParamList,11931112--Decl
119422--For,1194222--<
119322421--ArrayRef,1193224212--++
11941111--Decl,119411111--ArrayDecl
119511121--n,1195111211--int
11932321--ArrayRef,119323211--arr
119322411--ArrayRef,1193224111--arr
11942211--Decl,119422112--0
119621--Decl,1196211--ArrayDecl
119322111--i,1193221111--int
1194221--DeclList,11942211--Decl
1194--FuncDef,11941--Decl
11932242--=,119322421--ArrayRef
119611--FuncDecl,1196111--main
119411--FuncDecl,1194112--modifyAndRearrangeArr
11962222--sizeof,119622221--ArrayRef
119321--Decl,1193211--count
11942211--Decl,119422111--i
1194223--++,11942231--i
1--FileAST,1193--FuncDef
11951112--Decl,119511121--n
119521111--i,1195211111--int
1193221--DeclList,11932211--Decl
