1--CompilationUnit,11--Import
11--Import,1161794--java.util
11--Import,1194787--bool
1--CompilationUnit,12--ClassDeclaration
12--ClassDeclaration,1261333--OND_9
12--ClassDeclaration,1210783--MethodDeclaration
1210783--MethodDeclaration,121078337155--set
121078337155--set,12107833715542361--static
1210783--MethodDeclaration,121078328872--findsubarrayleast
1210783--MethodDeclaration,121078379535--FormalParameter
121078379535--FormalParameter,12107837953553490--BasicType
12107837953553490--BasicType,12107837953553490659--int
121078379535--FormalParameter,12107837953575372--arr
1210783--MethodDeclaration,12107836483--FormalParameter
12107836483--FormalParameter,1210783648358457--BasicType
1210783648358457--BasicType,121078364835845730242--int
12107836483--FormalParameter,1210783648322267--k
1210783--MethodDeclaration,121078375002--FormalParameter
121078375002--FormalParameter,12107837500212694--BasicType
12107837500212694--BasicType,1210783750021269411548--int
121078375002--FormalParameter,12107837500243558--n
1210783--MethodDeclaration,12107834340--LocalVariableDeclaration
12107834340--LocalVariableDeclaration,1210783434026053--BasicType
1210783434026053--BasicType,121078343402605345064--int
12107834340--LocalVariableDeclaration,1210783434064559--VariableDeclarator
1210783434064559--VariableDeclarator,121078343406455941611--min
1210783434064559--VariableDeclarator,121078343406455979252--MemberReference
121078343406455979252--MemberReference,12107834340645597925226317--Integer
121078343406455979252--MemberReference,12107834340645597925225911--MAX_VALUE
1210783--MethodDeclaration,12107839938--LocalVariableDeclaration
12107839938--LocalVariableDeclaration,1210783993840341--BasicType
1210783993840341--BasicType,121078399384034125373--int
12107839938--LocalVariableDeclaration,121078399381467--VariableDeclarator
121078399381467--VariableDeclarator,12107839938146720000--minindex
121078399381467--VariableDeclarator,1210783993814671407--Literal
1210783993814671407--Literal,121078399381467140721928--0
1210783--MethodDeclaration,121078358777--ForStatement
121078358777--ForStatement,12107835877750281--ForControl
12107835877750281--ForControl,1210783587775028169981--VariableDeclaration
1210783587775028169981--VariableDeclaration,121078358777502816998170488--BasicType
121078358777502816998170488--BasicType,12107835877750281699817048817542--int
1210783587775028169981--VariableDeclaration,121078358777502816998194104--VariableDeclarator
121078358777502816998194104--VariableDeclarator,12107835877750281699819410474024--i
121078358777502816998194104--VariableDeclarator,12107835877750281699819410423702--Literal
12107835877750281699819410423702--Literal,1210783587775028169981941042370292879--0
12107835877750281--ForControl,1210783587775028126980--BinaryOperation
1210783587775028126980--BinaryOperation,121078358777502812698043669--<=
1210783587775028126980--BinaryOperation,121078358777502812698068476--MemberReference
121078358777502812698068476--MemberReference,12107835877750281269806847649336--i
1210783587775028126980--BinaryOperation,121078358777502812698078592--BinaryOperation
121078358777502812698078592--BinaryOperation,12107835877750281269807859258670---
121078358777502812698078592--BinaryOperation,12107835877750281269807859264242--MemberReference
12107835877750281269807859264242--MemberReference,121078358777502812698078592642421121--n
121078358777502812698078592--BinaryOperation,12107835877750281269807859229008--MemberReference
12107835877750281269807859229008--MemberReference,1210783587775028126980785922900810519--k
12107835877750281--ForControl,1210783587775028121110--MemberReference
1210783587775028121110--MemberReference,121078358777502812111062804--++
1210783587775028121110--MemberReference,121078358777502812111075880--i
121078358777--ForStatement,12107835877719665--BlockStatement
12107835877719665--BlockStatement,1210783587771966585551--LocalVariableDeclaration
1210783587771966585551--LocalVariableDeclaration,121078358777196658555139547--BasicType
121078358777196658555139547--BasicType,1210783587771966585551395472915--int
1210783587771966585551--LocalVariableDeclaration,121078358777196658555128255--VariableDeclarator
121078358777196658555128255--VariableDeclarator,12107835877719665855512825592878--sum
121078358777196658555128255--VariableDeclarator,12107835877719665855512825522339--Literal
12107835877719665855512825522339--Literal,1210783587771966585551282552233988912--0
12107835877719665--BlockStatement,1210783587771966578877--ForStatement
1210783587771966578877--ForStatement,121078358777196657887777940--ForControl
121078358777196657887777940--ForControl,1210783587771966578877779406875--VariableDeclaration
1210783587771966578877779406875--VariableDeclaration,121078358777196657887777940687572728--BasicType
121078358777196657887777940687572728--BasicType,12107835877719665788777794068757272828050--int
1210783587771966578877779406875--VariableDeclaration,121078358777196657887777940687557934--VariableDeclarator
121078358777196657887777940687557934--VariableDeclarator,12107835877719665788777794068755793495922--j
121078358777196657887777940687557934--VariableDeclarator,12107835877719665788777794068755793470500--MemberReference
12107835877719665788777794068755793470500--MemberReference,12107835877719665788777794068755793470500523--i
121078358777196657887777940--ForControl,12107835877719665788777794079901--BinaryOperation
12107835877719665788777794079901--BinaryOperation,1210783587771966578877779407990116923--<
12107835877719665788777794079901--BinaryOperation,1210783587771966578877779407990188840--MemberReference
1210783587771966578877779407990188840--MemberReference,121078358777196657887777940799018884079013--j
12107835877719665788777794079901--BinaryOperation,1210783587771966578877779407990143076--BinaryOperation
1210783587771966578877779407990143076--BinaryOperation,121078358777196657887777940799014307638108--+
1210783587771966578877779407990143076--BinaryOperation,121078358777196657887777940799014307636617--MemberReference
121078358777196657887777940799014307636617--MemberReference,12107835877719665788777794079901430763661723450--i
1210783587771966578877779407990143076--BinaryOperation,121078358777196657887777940799014307659101--MemberReference
121078358777196657887777940799014307659101--MemberReference,1210783587771966578877779407990143076591014108--k
121078358777196657887777940--ForControl,12107835877719665788777794084794--MemberReference
12107835877719665788777794084794--MemberReference,1210783587771966578877779408479482335--++
12107835877719665788777794084794--MemberReference,121078358777196657887777940847947508--j
1210783587771966578877--ForStatement,121078358777196657887729030--BlockStatement
121078358777196657887729030--BlockStatement,12107835877719665788772903061937--StatementExpression
12107835877719665788772903061937--StatementExpression,1210783587771966578877290306193744482--Assignment
1210783587771966578877290306193744482--Assignment,121078358777196657887729030619374448270684--MemberReference
121078358777196657887729030619374448270684--MemberReference,12107835877719665788772903061937444827068468548--sum
1210783587771966578877290306193744482--Assignment,121078358777196657887729030619374448229485--MemberReference
121078358777196657887729030619374448229485--MemberReference,12107835877719665788772903061937444822948532556--ArraySelector
12107835877719665788772903061937444822948532556--ArraySelector,121078358777196657887729030619374448229485325562262--MemberReference
121078358777196657887729030619374448229485325562262--MemberReference,12107835877719665788772903061937444822948532556226280012--j
121078358777196657887729030619374448229485--MemberReference,12107835877719665788772903061937444822948533506--arr
1210783587771966578877290306193744482--Assignment,121078358777196657887729030619374448238243--+=
12107835877719665--BlockStatement,1210783587771966576351--IfStatement
1210783587771966576351--IfStatement,121078358777196657635158860--BinaryOperation
121078358777196657635158860--BinaryOperation,12107835877719665763515886041073--<
121078358777196657635158860--BinaryOperation,12107835877719665763515886086433--MemberReference
12107835877719665763515886086433--MemberReference,1210783587771966576351588608643382442--sum
121078358777196657635158860--BinaryOperation,12107835877719665763515886035153--MemberReference
12107835877719665763515886035153--MemberReference,1210783587771966576351588603515397235--min
1210783587771966576351--IfStatement,121078358777196657635186057--BlockStatement
121078358777196657635186057--BlockStatement,12107835877719665763518605758980--StatementExpression
12107835877719665763518605758980--StatementExpression,1210783587771966576351860575898048489--Assignment
1210783587771966576351860575898048489--Assignment,121078358777196657635186057589804848962721--MemberReference
121078358777196657635186057589804848962721--MemberReference,12107835877719665763518605758980484896272147600--min
1210783587771966576351860575898048489--Assignment,121078358777196657635186057589804848985419--MemberReference
121078358777196657635186057589804848985419--MemberReference,12107835877719665763518605758980484898541943967--sum
1210783587771966576351860575898048489--Assignment,121078358777196657635186057589804848951572--=
121078358777196657635186057--BlockStatement,12107835877719665763518605796649--StatementExpression
12107835877719665763518605796649--StatementExpression,1210783587771966576351860579664959841--Assignment
1210783587771966576351860579664959841--Assignment,121078358777196657635186057966495984124255--MemberReference
121078358777196657635186057966495984124255--MemberReference,12107835877719665763518605796649598412425592682--minindex
1210783587771966576351860579664959841--Assignment,121078358777196657635186057966495984196316--MemberReference
121078358777196657635186057966495984196316--MemberReference,12107835877719665763518605796649598419631661741--i
1210783587771966576351860579664959841--Assignment,121078358777196657635186057966495984158062--=
1210783--MethodDeclaration,121078350112--StatementExpression
121078350112--StatementExpression,12107835011225947--MethodInvocation
12107835011225947--MethodInvocation,1210783501122594769486--System.out
12107835011225947--MethodInvocation,1210783501122594788962--Literal
1210783501122594788962--Literal,121078350112259478896242277--"subarray with minimum average is: "
12107835011225947--MethodInvocation,1210783501122594798162--println
1210783--MethodDeclaration,121078385541--ForStatement
121078385541--ForStatement,12107838554178701--ForControl
12107838554178701--ForControl,1210783855417870172655--VariableDeclaration
1210783855417870172655--VariableDeclaration,121078385541787017265596205--BasicType
121078385541787017265596205--BasicType,12107838554178701726559620590552--int
1210783855417870172655--VariableDeclaration,121078385541787017265585332--VariableDeclarator
121078385541787017265585332--VariableDeclarator,12107838554178701726558533273958--i
121078385541787017265585332--VariableDeclarator,12107838554178701726558533216646--MemberReference
12107838554178701726558533216646--MemberReference,1210783855417870172655853321664663119--minindex
