1--CompilationUnit,11--Import
11--Import,1191833--java.io
11--Import,1134694--bool
1--CompilationUnit,12--ClassDeclaration
12--ClassDeclaration,1253830--OND_7
12--ClassDeclaration,1278392--MethodDeclaration
1278392--MethodDeclaration,127839278594--set
127839278594--set,12783927859440186--public
127839278594--set,12783927859484572--static
1278392--MethodDeclaration,127839270498--rearrangePosNegWithOrder
1278392--MethodDeclaration,127839251245--FormalParameter
127839251245--FormalParameter,12783925124531304--BasicType
12783925124531304--BasicType,1278392512453130412528--int
127839251245--FormalParameter,12783925124581521--arr
1278392--MethodDeclaration,127839245096--LocalVariableDeclaration
127839245096--LocalVariableDeclaration,12783924509638727--BasicType
12783924509638727--BasicType,1278392450963872747208--int
127839245096--LocalVariableDeclaration,12783924509616485--VariableDeclarator
12783924509616485--VariableDeclarator,1278392450961648512676--i
12783924509616485--VariableDeclarator,1278392450961648515777--Literal
1278392450961648515777--Literal,127839245096164851577719170--0
127839245096--LocalVariableDeclaration,12783924509659969--VariableDeclarator
12783924509659969--VariableDeclarator,1278392450965996944211--j
12783924509659969--VariableDeclarator,1278392450965996961102--Literal
1278392450965996961102--Literal,127839245096599696110287156--0
1278392--MethodDeclaration,127839281501--WhileStatement
127839281501--WhileStatement,12783928150153728--BinaryOperation
12783928150153728--BinaryOperation,1278392815015372864470--<
12783928150153728--BinaryOperation,1278392815015372861624--MemberReference
1278392815015372861624--MemberReference,127839281501537286162445818--j
12783928150153728--BinaryOperation,1278392815015372872973--MemberReference
1278392815015372872973--MemberReference,127839281501537287297349810--arr
1278392815015372872973--MemberReference,127839281501537287297361023--length
127839281501--WhileStatement,12783928150139738--BlockStatement
12783928150139738--BlockStatement,1278392815013973865241--IfStatement
1278392815013973865241--IfStatement,127839281501397386524197138--BinaryOperation
127839281501397386524197138--BinaryOperation,1278392815013973865241971388059-->=
127839281501397386524197138--BinaryOperation,12783928150139738652419713829224--MemberReference
12783928150139738652419713829224--MemberReference,1278392815013973865241971382922441851--ArraySelector
1278392815013973865241971382922441851--ArraySelector,127839281501397386524197138292244185195576--MemberReference
127839281501397386524197138292244185195576--MemberReference,12783928150139738652419713829224418519557650051--j
12783928150139738652419713829224--MemberReference,1278392815013973865241971382922430728--arr
127839281501397386524197138--BinaryOperation,12783928150139738652419713825253--Literal
12783928150139738652419713825253--Literal,1278392815013973865241971382525359618--0
1278392815013973865241--IfStatement,127839281501397386524121346--BlockStatement
127839281501397386524121346--BlockStatement,12783928150139738652412134624440--StatementExpression
12783928150139738652412134624440--StatementExpression,1278392815013973865241213462444081503--MemberReference
1278392815013973865241213462444081503--MemberReference,127839281501397386524121346244408150360228--++
1278392815013973865241213462444081503--MemberReference,127839281501397386524121346244408150338321--j
1278392815013973865241--IfStatement,12783928150139738652418164--BlockStatement
12783928150139738652418164--BlockStatement,1278392815013973865241816466442--ForStatement
1278392815013973865241816466442--ForStatement,127839281501397386524181646644291092--ForControl
127839281501397386524181646644291092--ForControl,12783928150139738652418164664429109222330--VariableDeclaration
