1--CompilationUnit,11--ClassDeclaration
11--ClassDeclaration,1139119--GFG
11--ClassDeclaration,1138493--MethodDeclaration
1138493--MethodDeclaration,113849362056--set
113849362056--set,11384936205656535--static
1138493--MethodDeclaration,113849380944--kmax
1138493--MethodDeclaration,113849332538--FormalParameter
113849332538--FormalParameter,11384933253877429--BasicType
11384933253877429--BasicType,1138493325387742958508--int
113849332538--FormalParameter,11384933253850239--arr
1138493--MethodDeclaration,11384933933--FormalParameter
11384933933--FormalParameter,1138493393323406--BasicType
1138493393323406--BasicType,113849339332340647356--int
11384933933--FormalParameter,1138493393388792--k
1138493--MethodDeclaration,113849391065--FormalParameter
113849391065--FormalParameter,11384939106572189--BasicType
11384939106572189--BasicType,1138493910657218998028--int
113849391065--FormalParameter,11384939106512827--n
1138493--MethodDeclaration,113849345489--ForStatement
113849345489--ForStatement,11384934548941890--ForControl
11384934548941890--ForControl,1138493454894189098588--VariableDeclaration
1138493454894189098588--VariableDeclaration,113849345489418909858873539--BasicType
113849345489418909858873539--BasicType,11384934548941890985887353957393--int
1138493454894189098588--VariableDeclaration,113849345489418909858830876--VariableDeclarator
113849345489418909858830876--VariableDeclarator,11384934548941890985883087630133--c
113849345489418909858830876--VariableDeclarator,11384934548941890985883087634245--Literal
11384934548941890985883087634245--Literal,1138493454894189098588308763424547669--0
11384934548941890--ForControl,1138493454894189013369--BinaryOperation
1138493454894189013369--BinaryOperation,113849345489418901336917154--<
1138493454894189013369--BinaryOperation,113849345489418901336957856--MemberReference
113849345489418901336957856--MemberReference,11384934548941890133695785686409--c
1138493454894189013369--BinaryOperation,113849345489418901336945035--MemberReference
113849345489418901336945035--MemberReference,11384934548941890133694503554362--k
11384934548941890--ForControl,1138493454894189060380--MemberReference
1138493454894189060380--MemberReference,113849345489418906038050584--++
1138493454894189060380--MemberReference,113849345489418906038011328--c
113849345489--ForStatement,11384934548960856--BlockStatement
11384934548960856--BlockStatement,1138493454896085625381--LocalVariableDeclaration
1138493454896085625381--LocalVariableDeclaration,113849345489608562538179782--BasicType
113849345489608562538179782--BasicType,11384934548960856253817978266516--int
1138493454896085625381--LocalVariableDeclaration,113849345489608562538144214--VariableDeclarator
113849345489608562538144214--VariableDeclarator,11384934548960856253814421420739--max_so_far
113849345489608562538144214--VariableDeclarator,11384934548960856253814421424696--MemberReference
11384934548960856253814421424696--MemberReference,1138493454896085625381442142469688010--Integer
11384934548960856253814421424696--MemberReference,1138493454896085625381442142469646096--MIN_VALUE
11384934548960856--BlockStatement,113849345489608569635--LocalVariableDeclaration
113849345489608569635--LocalVariableDeclaration,11384934548960856963569206--BasicType
11384934548960856963569206--BasicType,1138493454896085696356920616822--int
113849345489608569635--LocalVariableDeclaration,11384934548960856963535499--VariableDeclarator
11384934548960856963535499--VariableDeclarator,1138493454896085696353549913806--max_here
11384934548960856963535499--VariableDeclarator,113849345489608569635354995750--Literal
113849345489608569635354995750--Literal,11384934548960856963535499575057638--0
11384934548960856--BlockStatement,1138493454896085615398--LocalVariableDeclaration
1138493454896085615398--LocalVariableDeclaration,113849345489608561539883270--BasicType
113849345489608561539883270--BasicType,11384934548960856153988327067048--int
1138493454896085615398--LocalVariableDeclaration,113849345489608561539878725--VariableDeclarator
113849345489608561539878725--VariableDeclarator,11384934548960856153987872593622--start
113849345489608561539878725--VariableDeclarator,11384934548960856153987872537590--Literal
11384934548960856153987872537590--Literal,1138493454896085615398787253759078308--0
1138493454896085615398--LocalVariableDeclaration,113849345489608561539887257--VariableDeclarator
113849345489608561539887257--VariableDeclarator,11384934548960856153988725743340--end
113849345489608561539887257--VariableDeclarator,11384934548960856153988725711572--Literal
11384934548960856153988725711572--Literal,1138493454896085615398872571157231104--0
1138493454896085615398--LocalVariableDeclaration,113849345489608561539857730--VariableDeclarator
113849345489608561539857730--VariableDeclarator,11384934548960856153985773054779--s
113849345489608561539857730--VariableDeclarator,11384934548960856153985773051694--Literal
11384934548960856153985773051694--Literal,1138493454896085615398577305169451102--0
11384934548960856--BlockStatement,1138493454896085688304--ForStatement
1138493454896085688304--ForStatement,11384934548960856883041073--ForControl
11384934548960856883041073--ForControl,1138493454896085688304107385570--VariableDeclaration
1138493454896085688304107385570--VariableDeclaration,113849345489608568830410738557023012--BasicType
113849345489608568830410738557023012--BasicType,11384934548960856883041073855702301290752--int
1138493454896085688304107385570--VariableDeclaration,113849345489608568830410738557076017--VariableDeclarator
113849345489608568830410738557076017--VariableDeclarator,11384934548960856883041073855707601798284--i
113849345489608568830410738557076017--VariableDeclarator,11384934548960856883041073855707601752473--Literal
11384934548960856883041073855707601752473--Literal,1138493454896085688304107385570760175247311555--0
11384934548960856883041073--ForControl,11384934548960856883041073912--BinaryOperation
11384934548960856883041073912--BinaryOperation,113849345489608568830410739122243--<
11384934548960856883041073912--BinaryOperation,1138493454896085688304107391212548--MemberReference
1138493454896085688304107391212548--MemberReference,113849345489608568830410739121254887056--i
11384934548960856883041073912--BinaryOperation,1138493454896085688304107391254200--MemberReference
1138493454896085688304107391254200--MemberReference,113849345489608568830410739125420071409--n
11384934548960856883041073--ForControl,1138493454896085688304107375267--MemberReference
1138493454896085688304107375267--MemberReference,113849345489608568830410737526743485--++
1138493454896085688304107375267--MemberReference,113849345489608568830410737526737724--i
1138493454896085688304--ForStatement,113849345489608568830468579--BlockStatement
113849345489608568830468579--BlockStatement,11384934548960856883046857937745--StatementExpression
11384934548960856883046857937745--StatementExpression,1138493454896085688304685793774546189--Assignment
1138493454896085688304685793774546189--Assignment,113849345489608568830468579377454618994019--MemberReference
113849345489608568830468579377454618994019--MemberReference,11384934548960856883046857937745461899401983422--max_here
1138493454896085688304685793774546189--Assignment,113849345489608568830468579377454618921648--MemberReference
113849345489608568830468579377454618921648--MemberReference,11384934548960856883046857937745461892164842928--ArraySelector
11384934548960856883046857937745461892164842928--ArraySelector,1138493454896085688304685793774546189216484292835967--MemberReference
1138493454896085688304685793774546189216484292835967--MemberReference,113849345489608568830468579377454618921648429283596779295--i
113849345489608568830468579377454618921648--MemberReference,11384934548960856883046857937745461892164845836--arr
1138493454896085688304685793774546189--Assignment,113849345489608568830468579377454618973240--+=
113849345489608568830468579--BlockStatement,11384934548960856883046857977774--IfStatement
11384934548960856883046857977774--IfStatement,1138493454896085688304685797777433950--BinaryOperation
1138493454896085688304685797777433950--BinaryOperation,11384934548960856883046857977774339502487--<
1138493454896085688304685797777433950--BinaryOperation,11384934548960856883046857977774339502608--MemberReference
11384934548960856883046857977774339502608--MemberReference,1138493454896085688304685797777433950260879046--max_so_far
1138493454896085688304685797777433950--BinaryOperation,113849345489608568830468579777743395016--MemberReference
113849345489608568830468579777743395016--MemberReference,11384934548960856883046857977774339501622281--max_here
11384934548960856883046857977774--IfStatement,1138493454896085688304685797777435280--BlockStatement
1138493454896085688304685797777435280--BlockStatement,11384934548960856883046857977774352805117--StatementExpression
11384934548960856883046857977774352805117--StatementExpression,1138493454896085688304685797777435280511759062--Assignment
1138493454896085688304685797777435280511759062--Assignment,113849345489608568830468579777743528051175906252102--MemberReference
113849345489608568830468579777743528051175906252102--MemberReference,11384934548960856883046857977774352805117590625210258930--max_so_far
1138493454896085688304685797777435280511759062--Assignment,11384934548960856883046857977774352805117590621155--MemberReference
11384934548960856883046857977774352805117590621155--MemberReference,1138493454896085688304685797777435280511759062115568237--max_here
1138493454896085688304685797777435280511759062--Assignment,113849345489608568830468579777743528051175906279814--=
1138493454896085688304685797777435280--BlockStatement,11384934548960856883046857977774352803967--StatementExpression
11384934548960856883046857977774352803967--StatementExpression,1138493454896085688304685797777435280396776519--Assignment
1138493454896085688304685797777435280396776519--Assignment,113849345489608568830468579777743528039677651959604--MemberReference
113849345489608568830468579777743528039677651959604--MemberReference,11384934548960856883046857977774352803967765195960449659--start
1138493454896085688304685797777435280396776519--Assignment,113849345489608568830468579777743528039677651986553--MemberReference
113849345489608568830468579777743528039677651986553--MemberReference,11384934548960856883046857977774352803967765198655323957--s
1138493454896085688304685797777435280396776519--Assignment,113849345489608568830468579777743528039677651950167--=
1138493454896085688304685797777435280--BlockStatement,113849345489608568830468579777743528077233--StatementExpression
113849345489608568830468579777743528077233--StatementExpression,11384934548960856883046857977774352807723313033--Assignment
11384934548960856883046857977774352807723313033--Assignment,1138493454896085688304685797777435280772331303363028--MemberReference
1138493454896085688304685797777435280772331303363028--MemberReference,113849345489608568830468579777743528077233130336302828159--end
11384934548960856883046857977774352807723313033--Assignment,1138493454896085688304685797777435280772331303349128--MemberReference
1138493454896085688304685797777435280772331303349128--MemberReference,113849345489608568830468579777743528077233130334912865260--i
11384934548960856883046857977774352807723313033--Assignment,1138493454896085688304685797777435280772331303390563--=
113849345489608568830468579--BlockStatement,11384934548960856883046857997610--IfStatement
11384934548960856883046857997610--IfStatement,1138493454896085688304685799761097592--BinaryOperation
1138493454896085688304685799761097592--BinaryOperation,113849345489608568830468579976109759277701--<
1138493454896085688304685799761097592--BinaryOperation,11384934548960856883046857997610975924686--MemberReference
11384934548960856883046857997610975924686--MemberReference,1138493454896085688304685799761097592468621762--max_here
1138493454896085688304685799761097592--BinaryOperation,113849345489608568830468579976109759275968--Literal
113849345489608568830468579976109759275968--Literal,11384934548960856883046857997610975927596855125--0
11384934548960856883046857997610--IfStatement,11384934548960856883046857997610749--BlockStatement
11384934548960856883046857997610749--BlockStatement,1138493454896085688304685799761074947638--StatementExpression
1138493454896085688304685799761074947638--StatementExpression,113849345489608568830468579976107494763861958--Assignment
