1--CompilationUnit,11--ClassDeclaration
11--ClassDeclaration,111--sq27
11--ClassDeclaration,112--MethodDeclaration
112--MethodDeclaration,1121--set
1121--set,11211--static
112--MethodDeclaration,1122--BasicType
1122--BasicType,11221--int
112--MethodDeclaration,1123--minJumps
112--MethodDeclaration,1124--FormalParameter
1124--FormalParameter,11241--BasicType
11241--BasicType,112411--int
1124--FormalParameter,11242--arr
112--MethodDeclaration,1125--FormalParameter
1125--FormalParameter,11251--BasicType
11251--BasicType,112511--int
1125--FormalParameter,11252--n
112--MethodDeclaration,1126--LocalVariableDeclaration
1126--LocalVariableDeclaration,11261--BasicType
11261--BasicType,112611--int
1126--LocalVariableDeclaration,11262--VariableDeclarator
11262--VariableDeclarator,112621--jumps
11262--VariableDeclarator,112622--ArrayCreator
112622--ArrayCreator,1126221--BasicType
1126221--BasicType,11262211--int
112622--ArrayCreator,1126222--MemberReference
1126222--MemberReference,11262221--n
112--MethodDeclaration,1127--LocalVariableDeclaration
1127--LocalVariableDeclaration,11271--BasicType
11271--BasicType,112711--int
1127--LocalVariableDeclaration,11272--VariableDeclarator
11272--VariableDeclarator,112721--min
112--MethodDeclaration,1128--StatementExpression
1128--StatementExpression,11281--Assignment
11281--Assignment,112811--MemberReference
112811--MemberReference,1128111--ArraySelector
1128111--ArraySelector,11281111--BinaryOperation
11281111--BinaryOperation,112811111---
11281111--BinaryOperation,112811112--MemberReference
112811112--MemberReference,1128111121--n
11281111--BinaryOperation,112811113--Literal
112811113--Literal,1128111131--1
112811--MemberReference,1128112--jumps
11281--Assignment,112812--Literal
112812--Literal,1128121--0
11281--Assignment,112813--=
112--MethodDeclaration,1129--ForStatement
1129--ForStatement,11291--ForControl
11291--ForControl,112911--VariableDeclaration
112911--VariableDeclaration,1129111--BasicType
1129111--BasicType,11291111--int
112911--VariableDeclaration,1129112--VariableDeclarator
1129112--VariableDeclarator,11291121--i
1129112--VariableDeclarator,11291122--BinaryOperation
11291122--BinaryOperation,112911221---
11291122--BinaryOperation,112911222--MemberReference
112911222--MemberReference,1129112221--n
11291122--BinaryOperation,112911223--Literal
112911223--Literal,1129112231--2
11291--ForControl,112912--BinaryOperation
112912--BinaryOperation,1129121-->=
112912--BinaryOperation,1129122--MemberReference
1129122--MemberReference,11291221--i
112912--BinaryOperation,1129123--Literal
1129123--Literal,11291231--0
11291--ForControl,112913--MemberReference
112913--MemberReference,1129131----
112913--MemberReference,1129132--i
1129--ForStatement,11292--BlockStatement
11292--BlockStatement,112921--IfStatement
112921--IfStatement,1129211--BinaryOperation
1129211--BinaryOperation,11292111--==
1129211--BinaryOperation,11292112--MemberReference
11292112--MemberReference,112921121--ArraySelector
112921121--ArraySelector,1129211211--MemberReference
1129211211--MemberReference,11292112111--i
11292112--MemberReference,112921122--arr
1129211--BinaryOperation,11292113--Literal
