1--CompilationUnit,11--Import
11--Import,117409--java.util
11--Import,1146846--bool
1--CompilationUnit,12--ClassDeclaration
12--ClassDeclaration,1221614--O2N_3
12--ClassDeclaration,1271939--MethodDeclaration
1271939--MethodDeclaration,127193914382--set
127193914382--set,12719391438235429--static
1271939--MethodDeclaration,12719399876--type1
1271939--MethodDeclaration,127193999716--FormalParameter
127193999716--FormalParameter,12719399971684258--BasicType
12719399971684258--BasicType,1271939997168425866139--int
127193999716--FormalParameter,12719399971618896--arr
1271939--MethodDeclaration,127193920455--FormalParameter
127193920455--FormalParameter,12719392045570813--BasicType
12719392045570813--BasicType,1271939204557081316599--int
127193920455--FormalParameter,12719392045589374--start
1271939--MethodDeclaration,127193988130--FormalParameter
127193988130--FormalParameter,12719398813022834--BasicType
12719398813022834--BasicType,1271939881302283436037--int
127193988130--FormalParameter,12719398813052794--limit
1271939--MethodDeclaration,127193981095--ForStatement
127193981095--ForStatement,12719398109574306--ForControl
12719398109574306--ForControl,1271939810957430640754--VariableDeclaration
1271939810957430640754--VariableDeclaration,127193981095743064075475391--BasicType
127193981095743064075475391--BasicType,12719398109574306407547539146732--int
1271939810957430640754--VariableDeclaration,127193981095743064075451572--VariableDeclarator
127193981095743064075451572--VariableDeclarator,12719398109574306407545157275086--i
127193981095743064075451572--VariableDeclarator,12719398109574306407545157287693--MemberReference
12719398109574306407545157287693--MemberReference,1271939810957430640754515728769365479--start
12719398109574306--ForControl,1271939810957430654157--BinaryOperation
1271939810957430654157--BinaryOperation,127193981095743065415766144--<=
1271939810957430654157--BinaryOperation,127193981095743065415769898--MemberReference
127193981095743065415769898--MemberReference,12719398109574306541576989871315--i
1271939810957430654157--BinaryOperation,127193981095743065415760946--MemberReference
127193981095743065415760946--MemberReference,12719398109574306541576094694138--limit
12719398109574306--ForControl,1271939810957430676677--MemberReference
1271939810957430676677--MemberReference,127193981095743067667761633--++
1271939810957430676677--MemberReference,127193981095743067667722996--i
127193981095--ForStatement,12719398109572773--StatementExpression
12719398109572773--StatementExpression,1271939810957277311651--MemberReference
1271939810957277311651--MemberReference,127193981095727731165159959--++
1271939810957277311651--MemberReference,127193981095727731165190564--ArraySelector
127193981095727731165190564--ArraySelector,127193981095727731165190564682--MemberReference
127193981095727731165190564682--MemberReference,12719398109572773116519056468237468--i
1271939810957277311651--MemberReference,127193981095727731165197002--arr
12--ClassDeclaration,1222039--MethodDeclaration
1222039--MethodDeclaration,122203945994--set
122203945994--set,12220394599445566--static
1222039--MethodDeclaration,122203968649--type2
1222039--MethodDeclaration,122203981802--FormalParameter
122203981802--FormalParameter,1222039818021443--BasicType
1222039818021443--BasicType,122203981802144327002--int
122203981802--FormalParameter,12220398180258612--arr
1222039--MethodDeclaration,122203932612--FormalParameter
122203932612--FormalParameter,12220393261259438--BasicType
12220393261259438--BasicType,1222039326125943814553--int
122203932612--FormalParameter,1222039326121079--query
1222039--MethodDeclaration,12220397093--FormalParameter
12220397093--FormalParameter,1222039709332821--BasicType
1222039709332821--BasicType,12220397093328215731--int
12220397093--FormalParameter,1222039709334419--start
1222039--MethodDeclaration,122203943824--FormalParameter
122203943824--FormalParameter,12220394382434326--BasicType
12220394382434326--BasicType,1222039438243432683103--int
122203943824--FormalParameter,12220394382416603--limit
1222039--MethodDeclaration,122203966776--ForStatement
122203966776--ForStatement,12220396677666691--ForControl
12220396677666691--ForControl,1222039667766669153556--VariableDeclaration
1222039667766669153556--VariableDeclaration,122203966776666915355669205--BasicType
122203966776666915355669205--BasicType,1222039667766669153556692052177--int
1222039667766669153556--VariableDeclaration,122203966776666915355663677--VariableDeclarator
122203966776666915355663677--VariableDeclarator,12220396677666691535566367747934--i
122203966776666915355663677--VariableDeclarator,12220396677666691535566367735352--MemberReference
12220396677666691535566367735352--MemberReference,1222039667766669153556636773535215978--start
12220396677666691--ForControl,1222039667766669173801--BinaryOperation
1222039667766669173801--BinaryOperation,12220396677666691738016664--<=
1222039667766669173801--BinaryOperation,122203966776666917380136419--MemberReference
122203966776666917380136419--MemberReference,12220396677666691738013641981788--i
1222039667766669173801--BinaryOperation,122203966776666917380198429--MemberReference
122203966776666917380198429--MemberReference,12220396677666691738019842943101--limit
12220396677666691--ForControl,1222039667766669134481--MemberReference
1222039667766669134481--MemberReference,122203966776666913448161096--++
1222039667766669134481--MemberReference,122203966776666913448194262--i
122203966776--ForStatement,12220396677683736--BlockStatement
